youku_name	youku_http1
一马三司令	http:http://v.youku.com/v_show/id_XNDQwMDk1Nzc4MA==.html
谍战深海之惊蛰 DVD版	http://v.youku.com/v_show/id_XNDQxMDA4ODc3Ng==.html
激情的岁月	http:http://v.youku.com/v_show/id_XNDM3MjU1MjEyNA==.html
谍战深海之惊蛰 TV版	http:http://v.youku.com/v_show/id_XNDQwODYyMjAyOA==.html
包罗剧象	http://v.youku.com/v_show/id_XNDQwOTY0Njg1Ng==.html
竹马钢琴师	http://v.youku.com/v_show/id_XNDQwODI5MzExMg==.html
你是我的答案 DVD版	http:http://v.youku.com/v_show/id_XNDM1NTI5MzE4MA==.html
加油吧威基基	http://list.youku.com/show/id_z989402ce825042848b01.html
棒棒的幸福生活	http://v.youku.com/v_show/id_XMzk0MDMzMDA4MA==.html
激荡 TV版	http:http://v.youku.com/v_show/id_XNDM2OTQzNDA5Mg==.html
在远方	http:http://v.youku.com/v_show/id_XNDM2OTUxMzg4OA==.html
空降利刃	http://v.youku.com/v_show/id_XNDM5OTI0MzUwNA==.html
仙侠剑	http://list.youku.com/show/id_z07c787b2080911e48b3f.html
染色砂	http://list.youku.com/show/id_zefef4a92f12146819f81.html
国家孩子	http:http://v.youku.com/v_show/id_XNDM3Njg4NjU4OA==.html
暴风新娘 TV版	http://v.youku.com/v_show/id_XNDM5NDAwOTk1Ng==.html
我是班主任	http:http://v.youku.com/v_show/id_XNDM1NjIyNjQzNg==.html
外交风云	http:http://v.youku.com/v_show/id_XNDM2NzcxNDM0NA==.html
扑通扑通的青春	http://v.youku.com/v_show/id_XNDM3NTE0MDk5Mg==.html
别碰我心底的小柔软	http:http://v.youku.com/v_show/id_XNDM4NjMxNDk4MA==.html
激荡 DVD版	http:http://v.youku.com/v_show/id_XNDM3MTcxMDQ1Mg==.html
暴风新娘	http://list.youku.com/show/id_z0358c1f07d8a11e3b8b7.html
黎明决战	http://list.youku.com/show/id_z5623ec0404eb11e59e2a.html
秘杀名单	http:http://v.youku.com/v_show/id_XMzk0NjY1ODE2.html
漂洋过海来看你	http://list.youku.com/show/id_zefbfbdefbfbd0652efbf.html
打土匪	http://v.youku.com/v_show/id_XNDM4MjA3MjExNg==.html
忍冬艳蔷薇	http://v.youku.com/v_show/id_XNDM4MDc3NTc5Ng==.html
济公传	http://v.youku.com/v_show/id_XNDM4MDY4MjAzMg==.html
家有喜妇	http://v.youku.com/v_show/id_XNDM3Nzc0ODk4OA==.html
别无选择	http://v.youku.com/v_show/id_XNDM3NzU5OTcxMg==.html
科幻Fans	http://v.youku.com/v_show/id_XMzY2MDczOTI5Mg==.html
科幻5分钟	http://v.youku.com/v_show/id_XMjc0MTA2MzQ4OA==.html
戏说影事	http://v.youku.com/v_show/id_XMzk4ODAwNTU3Ng==.html
酷影料	http://v.youku.com/v_show/id_XMzc2MDM2NjU3Ng==.html
靠近我温暖你	http://list.youku.com/show/id_zacebf38c5ae4414aabe7.html
荒野谜情	http://list.youku.com/show/id_zed82aeefbfbdefbfbd08.html
星映话 2019	http://v.youku.com/v_show/id_XMzk5NjU2OTg2OA==.html
全职高手之巅峰荣耀	http:http://v.youku.com/v_show/id_XNDEzNDE3NjcxNg==.html
警局保卫战	http://list.youku.com/show/id_zefbfbdefbfbdde91efbf.html
飞行员呆呆鸟	http://list.youku.com/show/id_zedcd9b43407c4253a769.html
我在温州等你	http://v.youku.com/v_show/id_XNDQwMDMzNTI1Mg==.html
福星高照朱小八	http://list.youku.com/show/id_zfbed192ccc8d4f8d8ed8.html
音乐微剧场	http://v.youku.com/v_show/id_XMzk5NTE4ODU4MA==.html
角色影像志	http://v.youku.com/v_show/id_XMzk4ODAwMjkyNA==.html
罗小黑战记	http:http://v.youku.com/v_show/id_XNDIyNTU0MjQ0MA==.html
格桑花之爱在前行	http://list.youku.com/show/id_zcedf3045d1e24c7a8e56.html
NICO 88	http://list.youku.com/show/id_z5b5de27b671c417380c0.html
票票指北	http://v.youku.com/v_show/id_XMzkzMTMzMTEzNg==.html
海阔天空——《中国机长》官方纪录片	http://v.youku.com/v_show/id_XNDM5ODM0MDcwMA==.html
风吹吧麦浪	http://list.youku.com/show/id_zaeca92985aee4c9aa362.html
战斗天使	http://v.youku.com/v_show/id_XNDM5NDkzMjgwOA==.html
拳语者	http://v.youku.com/v_show/id_XNDM5NDE2MzAwOA==.html
传教士	http://list.youku.com/show/id_zcc062b9e962411de83b1.html
狄仁杰之天神下凡	http://v.youku.com/v_show/id_XNDM5NDI5OTA3Mg==.html
幸福俏冤家	http://list.youku.com/show/id_zeacce18177474c97bfee.html
霍元甲	http://list.youku.com/show/id_zcc08c52a962411de83b1.html
猛鬼校园	http://list.youku.com/show/id_zefaf83a214924c0fb30b.html
负债甜心	http://list.youku.com/show/id_z5f2c7cefbfbdc7b111ef.html
红色谜团	http://list.youku.com/show/id_zdecf3f1ea994405a957f.html
牛仔裤的夏天	http://list.youku.com/show/id_zcc063c7e962411de83b1.html
