ServingCell_PCI,ServingCell_RSRP,ServingCell_RSRQ,Neighbor_Num,Neighbor1_pci,Neighbor1_MOD3,Neighbor1_RSRP,Neighbor1_RSRQ,Neighbor2_pci,Neighbor2_MOD3,Neighbor2_RSRP,Neighbor2_RSRQ,Neighbor3_pci,Neighbor3_MOD3,Neighbor3_RSRP,Neighbor3_RSRQ,Neighbor4_pci,Neighbor4_MOD3,Neighbor4_RSRP,Neighbor4_RSRQ,Neighbor5_pci,Neighbor5_MOD3,Neighbor5_RSRP,Neighbor5_RSRQ,Neighbor6_pci,Neighbor6_MOD3,Neighbor6_RSRP,Neighbor6_RSRQ,Neighbor7_pci,Neighbor7_MOD3,Neighbor7_RSRP,Neighbor7_RSRQ,Neighbor8_pci,Neighbor8_MOD3,Neighbor8_RSRP,Neighbor8_RSRQ,SINR
37,-80,-7,1,9,0,-82,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
37,-79,-7,1,9,0,-83,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
37,-79,-6,1,9,0,-87,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3
37,-80,-6,1,9,0,-82,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
0,-63,-7,2,191,0,-75,-13,1,0,-81,-21,,,,,,,,,,,,,,,,,,,,,,,,,11.3
0,-63,-7,2,191,0,-77,-21,1,0,-82,-28,,,,,,,,,,,,,,,,,,,,,,,,,11.5
0,-62,-8,2,191,0,-74,-13,1,0,-80,-23,,,,,,,,,,,,,,,,,,,,,,,,,11.1
0,-65,-8,2,191,0,-73,-14,1,,0,-23,,,,,,,,,,,,,,,,,,,,,,,,,8.4
0,-66,-8,2,191,0,-74,-12,1,0,-84,-26,,,,,,,,,,,,,,,,,,,,,,,,,6.6
0,-66,-10,2,191,0,-73,-14,1,0,-78,-20,,,,,,,,,,,,,,,,,,,,,,,,,7.7
0,-66,-10,2,191,0,-72,-11,1,0,-75,-16,,,,,,,,,,,,,,,,,,,,,,,,,6.3
0,-62,-7,2,191,0,-71,-23,1,0,-72,-23,,,,,,,,,,,,,,,,,,,,,,,,,12.8
0,-63,-8,2,191,0,-71,-22,1,0,-71,-23,,,,,,,,,,,,,,,,,,,,,,,,,13.8
0,-63,-8,2,191,0,-74,-22,1,0,-75,-24,,,,,,,,,,,,,,,,,,,,,,,,,11.5
0,-64,-8,2,191,0,-73,-20,1,0,-73,-21,,,,,,,,,,,,,,,,,,,,,,,,,11.7
0,-65,-8,2,191,0,-71,-11,1,0,-77,-20,,,,,,,,,,,,,,,,,,,,,,,,,10.4
0,-64,-8,2,191,0,-72,-19,1,0,-74,-23,,,,,,,,,,,,,,,,,,,,,,,,,11.3
0,-63,-8,2,191,0,-73,-19,1,0,-75,-24,,,,,,,,,,,,,,,,,,,,,,,,,12.1
0,-63,-8,1,191,0,-71,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
0,-63,-7,2,191,0,-73,-20,1,0,-74,-22,,,,,,,,,,,,,,,,,,,,,,,,,13.1
0,-63,-7,2,191,0,-70,-20,1,0,-73,-24,,,,,,,,,,,,,,,,,,,,,,,,,13
0,-63,-8,2,191,0,-71,-20,1,0,-72,-22,,,,,,,,,,,,,,,,,,,,,,,,,12.8
0,-63,-8,2,191,0,-72,-22,1,0,-73,-23,,,,,,,,,,,,,,,,,,,,,,,,,12.8
0,-63,-7,2,191,0,-71,-12,1,0,-82,-25,,,,,,,,,,,,,,,,,,,,,,,,,12.3
0,-63,-8,2,191,0,-72,-20,1,0,-76,-24,,,,,,,,,,,,,,,,,,,,,,,,,11.9
0,-63,-8,2,191,0,-71,-20,1,0,-73,-23,,,,,,,,,,,,,,,,,,,,,,,,,12.6
0,-63,-8,2,191,0,-72,-21,1,0,-72,-22,,,,,,,,,,,,,,,,,,,,,,,,,12.2
0,-62,-7,2,1,0,-70,-22,191,0,-71,-22,,,,,,,,,,,,,,,,,,,,,,,,,15.8
0,-63,-7,2,191,0,-73,-18,1,0,-76,-24,,,,,,,,,,,,,,,,,,,,,,,,,14
0,-62,-8,2,1,0,-73,-24,191,0,-74,-22,,,,,,,,,,,,,,,,,,,,,,,,,15.2
0,-62,-7,2,191,0,-71,-21,1,0,-71,-23,,,,,,,,,,,,,,,,,,,,,,,,,14.8
0,-62,-7,2,1,0,-71,-23,191,0,-73,-23,,,,,,,,,,,,,,,,,,,,,,,,,15.6
0,-63,-8,2,191,0,-73,-21,1,0,-75,-24,,,,,,,,,,,,,,,,,,,,,,,,,13.3
0,-63,-7,2,1,0,-72,-22,191,0,-73,-23,,,,,,,,,,,,,,,,,,,,,,,,,15.3
0,-61,-7,2,191,0,-71,-23,1,0,-71,-23,,,,,,,,,,,,,,,,,,,,,,,,,15.8
0,-62,-7,2,1,0,-71,-23,191,0,-71,-21,,,,,,,,,,,,,,,,,,,,,,,,,14.4
0,-62,-8,2,1,0,-70,-20,191,0,-71,-21,,,,,,,,,,,,,,,,,,,,,,,,,13.7
0,-62,-9,2,1,0,-70,-21,191,0,-71,-22,,,,,,,,,,,,,,,,,,,,,,,,,13
0,-62,-8,2,1,0,-70,-22,191,0,-71,-23,,,,,,,,,,,,,,,,,,,,,,,,,14.4
0,-62,-8,2,1,0,-69,-20,191,0,-73,-23,,,,,,,,,,,,,,,,,,,,,,,,,14
0,-62,-9,2,1,0,-70,-23,191,0,-70,-24,,,,,,,,,,,,,,,,,,,,,,,,,11.6
0,-61,-8,2,1,0,-71,-24,191,0,-72,-23,,,,,,,,,,,,,,,,,,,,,,,,,12.7
0,-61,-7,2,191,0,-70,-22,1,0,-70,-22,,,,,,,,,,,,,,,,,,,,,,,,,14.7
0,-61,-8,2,1,0,-71,-22,191,0,-74,-22,,,,,,,,,,,,,,,,,,,,,,,,,14.4
0,-61,-7,2,191,0,-71,-22,1,0,-71,-23,,,,,,,,,,,,,,,,,,,,,,,,,15
0,-61,-7,2,1,0,-71,-21,191,0,-72,-19,,,,,,,,,,,,,,,,,,,,,,,,,14
0,-62,-7,2,191,0,-73,-23,1,0,-73,-24,,,,,,,,,,,,,,,,,,,,,,,,,15.3
0,-61,-7,2,1,0,-71,-22,191,0,-73,-21,,,,,,,,,,,,,,,,,,,,,,,,,16.7
0,-61,-7,2,191,0,-70,-23,1,0,-70,-23,,,,,,,,,,,,,,,,,,,,,,,,,16.6
0,-62,-8,2,1,0,-72,-22,191,0,-73,-22,,,,,,,,,,,,,,,,,,,,,,,,,6.9
0,-63,-8,2,1,0,-71,-23,191,0,-71,-24,,,,,,,,,,,,,,,,,,,,,,,,,5.9
0,-63,-8,2,1,0,-71,-21,191,0,-74,-24,,,,,,,,,,,,,,,,,,,,,,,,,5.8
0,-63,-8,2,1,0,-70,-21,191,0,-71,-24,,,,,,,,,,,,,,,,,,,,,,,,,5.9
0,-61,-8,2,1,0,-71,-22,191,0,-73,-23,,,,,,,,,,,,,,,,,,,,,,,,,7.2
0,-62,-9,1,1,0,-73,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
0,-62,-7,2,1,0,-77,-23,191,0,-80,-13,,,,,,,,,,,,,,,,,,,,,,,,,15.8
0,-62,-7,2,1,0,-69,-22,191,0,-71,-22,,,,,,,,,,,,,,,,,,,,,,,,,15.5
0,-62,-7,2,191,0,-77,-13,1,0,-79,-25,,,,,,,,,,,,,,,,,,,,,,,,,16.4
0,-62,-7,2,1,0,-74,-23,191,0,-75,-22,,,,,,,,,,,,,,,,,,,,,,,,,14.7
0,-62,-7,2,191,0,-77,-13,1,0,-80,-24,,,,,,,,,,,,,,,,,,,,,,,,,16
0,-62,-8,2,191,0,-71,-22,1,0,-74,-25,,,,,,,,,,,,,,,,,,,,,,,,,6.1
0,-62,-9,2,191,0,-77,-15,1,0,-83,-26,,,,,,,,,,,,,,,,,,,,,,,,,5.9
0,-62,-9,2,1,0,-71,-23,191,0,-73,-23,,,,,,,,,,,,,,,,,,,,,,,,,5.4
0,-62,-9,2,191,0,-77,-16,1,0,-83,-26,,,,,,,,,,,,,,,,,,,,,,,,,5.4
0,-62,-8,2,191,0,-73,-21,1,0,-73,-23,,,,,,,,,,,,,,,,,,,,,,,,,6.6
0,-62,-7,2,191,0,-78,-13,1,0,-81,-25,,,,,,,,,,,,,,,,,,,,,,,,,15.7
0,-62,-7,2,1,0,-73,-24,191,0,-74,-22,,,,,,,,,,,,,,,,,,,,,,,,,15.5
0,-62,-8,2,191,0,-72,-21,1,0,-73,-23,,,,,,,,,,,,,,,,,,,,,,,,,12.2
0,-62,-7,2,191,0,-71,-24,1,0,-71,-23,,,,,,,,,,,,,,,,,,,,,,,,,15.4
0,-62,-7,2,191,0,-78,-13,1,0,-81,-27,,,,,,,,,,,,,,,,,,,,,,,,,15.6
0,-62,-8,2,191,0,-70,-23,1,0,-72,-24,,,,,,,,,,,,,,,,,,,,,,,,,15.6
0,-62,-7,2,191,0,-76,-21,1,0,-76,-24,,,,,,,,,,,,,,,,,,,,,,,,,14.6
0,-62,-7,2,191,0,-78,-20,1,0,-82,-28,,,,,,,,,,,,,,,,,,,,,,,,,16
0,-62,-8,2,1,0,-74,-18,191,0,-80,-16,,,,,,,,,,,,,,,,,,,,,,,,,14.9
0,-64,-8,2,191,0,-71,-19,1,0,-71,-20,,,,,,,,,,,,,,,,,,,,,,,,,11.8
0,-64,-8,2,1,0,-79,-20,191,0,-83,-14,,,,,,,,,,,,,,,,,,,,,,,,,13.2
0,-63,-8,2,191,0,-74,-18,1,0,-76,-23,,,,,,,,,,,,,,,,,,,,,,,,,13.2
0,-63,-8,2,191,0,-74,-12,1,0,-79,-23,,,,,,,,,,,,,,,,,,,,,,,,,12.5
0,-63,-8,2,191,0,-74,-19,1,0,-74,-23,,,,,,,,,,,,,,,,,,,,,,,,,12.4
0,-64,-8,2,1,0,-77,-20,191,0,-84,-14,,,,,,,,,,,,,,,,,,,,,,,,,14.3
0,-64,-7,2,1,0,-75,-24,191,0,-76,-22,,,,,,,,,,,,,,,,,,,,,,,,,14.3
0,-63,-8,2,1,0,-73,-18,191,0,-76,-13,,,,,,,,,,,,,,,,,,,,,,,,,10.9
0,-63,-8,2,1,0,-71,-18,191,0,-73,-17,,,,,,,,,,,,,,,,,,,,,,,,,11.9
