ServingCell_RSRP,ServingCell_RSRQ,ServingCell_PCI,Neighbor1_RSRP,Neighbor1_RSRQ,Neighbor1_PCI,Neighbor1_IS_MOD3,SINR
-80,-5,239,-81,-10,170,1,18.1
-80,-5,239,-82,-8,170,1,18.1
-79,-6,239,-80,-15,170,1,18.2
-81,-6,239,-81,-10,170,1,14.9
-82,-9,239,-83,-14,170,1,9.5
-82,-11,170,-82,-10,239,1,13
-87,-12,168,-87,-8,169,0,11.3
-87,-9,169,-91,-13,168,0,10.5
-108,-11,289,-96,-25,3,0,0.3
-84,-15,110,-87,-23,109,0,-0.7
-83,-14,110,-89,-18,109,0,0.2
-80,-6,250,-92,-19,251,0,12.7
-84,-6,250,-93,-16,251,0,13.7
-81,-11,89,-81,-15,100,0,7.4
-75,-7,100,-83,-23,99,0,15.8
-80,-8,217,-74,-8,216,0,13.3
-74,-10,216,-73,-10,217,0,8.1
-75,-10,216,-77,-8,217,0,10.1
-77,-7,217,-76,-11,216,0,13.2
-74,-7,217,-80,-11,216,0,15
-65,-7,217,-69,-12,216,0,14.7
-64,-6,217,-71,-15,216,0,18.9
-61,-6,217,-73,-14,216,0,20
-61,-6,217,-75,-16,216,0,17.6
-70,-8,51,-74,-9,143,0,12.6
-74,-7,51,-79,-10,143,0,9.9
-74,-8,51,-73,-9,143,0,8.4
-74,-6,51,-78,-9,143,0,15.1
-75,-6,51,-80,-11,143,0,13.3
-73,-6,51,-80,-8,143,0,14.7
-74,-6,51,-79,-11,143,0,14.5
-72,-6,51,-80,-9,143,0,17.7
-71,-6,51,-86,-13,143,0,18
-81,-6,24,-90,-16,14,0,17
-75,-6,24,-92,-24,14,0,18.9
-77,-6,26,-99,-24,14,0,19.1
-74,-6,26,-96,-24,14,0,20.8
-85,-6,26,-104,-27,24,0,21.2
-83,-6,26,-103,-26,24,0,18.5
-83,-6,26,-104,-26,24,0,16.2
-83,-6,26,-95,-19,14,0,17.1
-80,-6,26,-95,-19,14,0,20.9
-81,-6,26,-103,-19,33,0,21.9
-78,-6,26,-99,-9,33,0,20.9
-79,-6,26,-94,-8,33,0,16.8
-79,-6,26,-109,-23,33,0,16
-83,-6,26,-108,-22,121,0,16.2
-81,-6,26,-102,-26,121,0,18.1
-80,-6,26,-83,-7,33,0,17.4
-81,-6,26,-81,-5,33,0,14.8
-79,-6,26,-95,-7,33,0,13.4
-93,-9,16,-103,-17,121,0,6.3
-79,-6,26,-97,-20,121,0,17.3
-85,-6,26,-110,-10,33,0,11.9
-83,-6,26,-101,-12,33,0,19.9
-80,-6,26,-106,-30,121,0,19.7
-78,-6,26,-106,-29,121,0,18.8
-80,-6,26,-102,-24,51,0,19.4
-78,-6,26,-91,-18,14,0,18.2
-79,-6,26,-93,-19,14,0,16.8
-79,-6,26,-92,-18,14,0,17.2
-79,-6,26,-95,-19,14,0,15.2
-80,-6,26,-101,-19,14,0,12.4
-72,-6,51,-79,-8,143,0,15.9
-69,-6,51,-78,-12,143,0,20.4
-73,-6,51,-74,-6,143,0,14
-73,-6,51,-74,-6,143,0,14
-77,-7,51,-79,-9,143,0,12.9
-77,-7,51,-76,-8,143,0,10.6
-73,-7,51,-76,-11,143,0,13.9
-76,-8,51,-79,-10,143,0,10.3
-99,-5,328,-126,-28,59,0,17.8
-100,-6,328,-126,-28,59,0,16.5
-100,-6,328,-126,-29,59,0,17
-85,-11,92,-92,-21,7,0,17.3
-81,-11,92,-96,-24,34,0,21.7
-78,-6,92,-99,-25,34,0,25.1
-79,-6,92,-98,-26,34,0,24.4
-78,-6,92,-86,-19,34,0,24.6
-76,-6,92,-96,-25,34,0,25.6
-76,-5,92,-95,-25,34,0,26.9
-75,-5,92,-89,-23,91,0,27.9
-74,-6,92,-83,-20,178,0,20.7
-74,-6,92,-93,-18,178,0,20.4
-75,-6,92,-90,-17,178,0,18.6
-75,-8,92,-87,-24,178,0,19.3
-74,-6,92,-83,-20,178,0,21.8
-74,-6,92,-91,-22,79,0,25.1
-74,-11,92,-87,-17,79,0,21.8
-73,-9,92,-84,-23,79,0,23.3
-73,-6,92,-88,-21,79,0,22.8
-73,-6,92,-81,-20,79,0,24.8
-73,-6,92,-96,-23,79,0,24.3
-74,-6,92,-93,-24,79,0,24.5
-73,-6,92,-86,-17,79,0,22.6
-73,-6,92,-107,-22,340,0,23.9
-73,-6,92,-81,-21,340,0,21.1
-73,-6,92,-81,-23,79,0,21.4
-72,-6,92,-87,-19,79,0,25
-75,-6,92,-91,-19,178,0,21.6
-75,-6,92,-87,-22,178,0,13.5
-79,-7,92,-86,-20,178,0,11.5
-80,-12,92,-90,-13,178,0,12.3
-82,-12,92,-90,-22,90,0,15.2
-84,-12,92,-94,-20,178,0,13.9
-90,-13,92,-94,-13,178,0,7.3
-88,-13,92,-95,-21,178,0,7.4
-77,-11,80,-86,-19,79,0,15.8
-77,-12,80,-88,-22,79,0,16.9
-79,-11,119,-88,-19,13,0,18.4
-81,-7,119,-89,-14,13,0,16.7
-84,-10,119,-89,-7,13,0,13.5
-85,-9,119,-87,-12,13,0,14.9
-87,-8,119,-85,-7,13,0,13.1
-86,-10,119,-85,-10,13,0,13.3
-90,-13,14,-98,-22,218,0,3.5
-91,-9,14,-91,-13,218,1,1.5
-91,-8,14,-94,-13,218,1,3.6
-70,-7,21,-79,-22,209,0,13.3
-69,-7,21,-81,-20,23,0,11.5
-69,-6,21,-79,-22,23,0,13.7
-64,-6,21,-76,-23,23,0,17.4
-64,-6,21,-79,-20,23,0,17.6
-64,-7,21,-76,-22,23,0,17.4
-63,-6,21,-77,-22,23,0,18.1
-64,-7,21,-77,-21,23,0,16
-67,-7,21,-83,-21,23,0,13.4
-70,-7,21,-86,-22,23,0,12.2
-70,-8,21,-85,-22,23,0,11.4
-69,-7,21,-81,-23,23,0,13.6
-71,-7,21,-82,-19,23,0,13
-71,-7,21,-85,-18,23,0,14.5
-69,-7,21,-82,-23,23,0,15.7
-70,-7,21,-79,-20,23,0,12.5
-71,-8,21,-80,-21,23,0,12.8
-75,-11,21,-81,-18,284,0,6.3
-78,-6,95,-91,-9,33,0,15.7
-74,-5,95,-97,-23,204,0,26.7
-75,-5,95,-86,-22,9,0,25.5
-71,-6,95,-99,-25,9,0,26.9
-70,-6,95,-96,-25,9,0,29
-67,-6,95,-74,-20,9,0,29
-72,-5,95,-97,-23,9,0,26
-78,-6,95,-95,-22,10,0,23.7
-83,-6,94,-99,-16,95,0,16.5
-86,-7,94,-97,-25,188,0,11.7
-83,-7,94,-96,-15,132,0,16.2
-79,-7,109,-86,-17,133,0,18.6
-73,-6,109,-96,-20,133,0,25.5
-76,-7,109,-90,-23,94,0,25.4
-92,-8,109,-104,-23,94,0,14.3
-62,-7,74,-73,-19,73,0,13.7
-60,-6,74,-70,-15,73,0,13.7
-63,-7,74,-69,-15,73,0,13.2
-63,-7,74,-69,-13,73,0,13.1
-63,-7,74,-69,-14,73,0,13.5
-64,-7,74,-71,-11,73,0,12.5
-66,-9,74,-74,-21,73,0,10.6
-67,-8,74,-75,-17,73,0,9.5
-72,-10,74,-78,-19,73,0,4.7
-73,-14,74,-73,-13,73,0,2.6
-74,-11,73,-75,-12,74,0,2.3
-72,-11,73,-80,-16,74,0,2.4
-74,-10,73,-74,-11,74,0,3.7
-75,-13,73,-75,-15,74,0,-1.2
-75,-15,73,-75,-14,74,0,-3.5
-74,-15,73,-72,-14,74,0,-3.7
-72,-10,73,-73,-12,74,0,4.6
-74,-12,73,-74,-12,74,0,3.6
-73,-12,74,-72,-15,73,0,1.6
-67,-8,74,-67,-12,73,0,8.8
-66,-7,74,-72,-13,73,0,9.9
-67,-8,74,-71,-13,73,0,9.9
-66,-8,74,-71,-13,73,0,11.2
-64,-7,74,-71,-15,73,0,11.4
-64,-7,74,-71,-15,73,0,12.1
-65,-8,74,-73,-14,73,0,10.5
-70,-8,74,-77,-18,73,0,7.8
-70,-7,74,-79,-20,283,0,9.4
-72,-9,74,-79,-19,283,0,7.5
-73,-10,74,-82,-23,73,0,6.8
-70,-8,74,-80,-21,49,0,8.2
-72,-12,74,-78,-21,283,0,0.8
-78,-6,109,-91,-15,133,0,20.9
-74,-8,109,-83,-24,133,0,24
-91,-12,94,-99,-13,132,0,7.3
-90,-11,132,-100,-16,166,0,13.2
-86,-12,132,-83,-12,166,0,14
-81,-9,132,-91,-14,166,0,18.5
-85,-5,167,-93,-14,10,0,16.6
-77,-6,167,-86,-24,103,0,22.7
-80,-11,167,-94,-6,103,0,19.7
-79,-6,167,-91,-23,9,0,23.2
-78,-6,167,-95,-7,103,0,23.6
-83,-6,167,-91,-11,9,0,20.6
-82,-5,167,-98,-20,132,0,22.9
-85,-6,167,-101,-20,132,0,19.2
-85,-6,167,-100,-23,132,0,19.1
-85,-6,167,-113,-20,23,0,20.5
-90,-8,7,-98,-21,6,0,11.6
-82,-6,7,-97,-20,69,0,18
-80,-6,7,-100,-14,69,0,22.7
-91,-9,5,-91,-14,7,0,9.5
-86,-13,5,-81,-8,7,0,6.4
-71,-6,5,-80,-22,7,0,26.4
-71,-6,5,-98,-30,7,0,23.1
-90,-11,3,-83,-11,4,0,9.3
-75,-6,4,-86,-18,3,0,21.3
-79,-6,4,-84,-22,3,0,17
-79,-7,4,-87,-18,3,0,15.8
-76,-7,4,-80,-19,3,0,17.8
-73,-6,4,-83,-21,3,0,20.9
-77,-6,4,-86,-22,3,0,21.1
-75,-6,4,-83,-23,58,0,21.7
-67,-5,4,-77,-24,58,0,26.8
-65,-5,4,-76,-24,58,0,28.9
-89,-12,126,-98,-22,70,0,13.5
-68,-6,126,-87,-24,58,0,22.8
-70,-6,126,-84,-14,58,0,23.1
-74,-6,41,-91,-22,58,0,21.3
-81,-12,22,-79,-8,23,0,5.9
-87,-7,23,-89,-8,69,0,9.1
-87,-6,70,-102,-8,21,0,17.7
-85,-6,70,-103,-23,69,0,18.4
-83,-6,70,-95,-8,41,0,22.1
-89,-6,70,-102,-14,41,0,16.3
-86,-6,70,-104,-11,41,0,18.1
-88,-6,70,-104,-11,41,0,17.7
-86,-6,70,-100,-9,41,0,22.6
-89,-7,70,-107,-11,41,0,17.7
-89,-6,70,-100,-10,41,0,18.7
-81,-6,70,-98,-24,132,0,22.2
